,RPI,Team,wins,losses,SOS,Rank,Opp Win Percent,opp_wins,opp_losses
129,130,McNeese,33.0,23.0,0.4856,188,0.4878,1376.0,1445.0
142,143,Memphis,29.0,28.0,0.5035,132,0.5038,1518.0,1495.0
119,120,Mercer,33.0,25.0,0.5001,147,0.493,1505.0,1548.0
267,268,Merrimack,21.0,30.0,0.4302,293,0.427,1065.0,1430.0
11,12,Miami (FL),40.0,19.0,0.5655,23,0.5807,1781.0,1286.0
245,246,Miami (OH),21.0,35.0,0.4677,233,0.4626,1343.0,1560.0
122,123,Michigan,28.0,28.0,0.5186,92,0.5224,1514.0,1384.0
68,69,Michigan State,33.0,22.0,0.5166,97,0.523,1513.0,1380.0
157,158,Middle Tennessee,27.0,29.0,0.506,129,0.5106,1538.0,1474.0
263,264,Milwaukee,22.0,32.0,0.433,291,0.417,1140.0,1594.0
207,208,Minnesota,18.0,34.0,0.526,77,0.5426,1463.0,1233.0
50,51,Mississippi State,27.0,26.0,0.5834,10,0.5979,1705.0,1146.0
291,292,Mississippi Valley State,13.0,37.0,0.4403,283,0.4547,1080.0,1295.0
49,50,Missouri,30.0,24.0,0.5565,32,0.5642,1601.0,1236.0
83,84,Missouri State,33.0,23.0,0.5147,102,0.5278,1538.0,1376.0
203,204,Monmouth,16.0,30.0,0.5179,95,0.5284,1255.0,1120.0
112,113,Morehead State,35.0,20.0,0.4624,244,0.4591,1290.0,1520.0
238,239,Mount Saint Mary's,25.0,27.0,0.446,273,0.4444,1177.0,1472.0
169,170,Murray State,31.0,28.0,0.4816,197,0.4805,1454.0,1572.0
221,222,NJIT,22.0,31.0,0.464,238,0.4635,1186.0,1373.0
244,245,Navy,23.0,27.0,0.4598,248,0.4608,1097.0,1284.0
96,97,Nebraska,33.5,23.5,0.4981,152,0.4993,1413.0,1417.0
219,220,Nevada,20.0,33.0,0.4986,151,0.5077,1358.0,1317.0
241,242,New Mexico,25.0,24.0,0.4465,271,0.4355,1043.0,1352.0
296,297,New Mexico State,12.0,36.0,0.4512,261,0.4446,1075.0,1343.0
93,94,New Orleans,35.0,24.0,0.4955,161,0.5017,1474.0,1464.0
191,192,Niagara,24.5,22.5,0.4493,264,0.4507,1069.0,1303.0
107,108,Nicholls,32.0,22.0,0.494,166,0.4949,1361.0,1389.0
301,302,Norfolk State,9.0,42.0,0.4495,263,0.458,1159.0,1372.0
271,272,North Alabama,14.0,37.0,0.4761,209,0.474,1304.0,1447.0
26,27,North Carolina,35.0,22.0,0.5803,12,0.6001,1820.0,1213.0
182,183,North Carolina A&T,19.0,28.0,0.5125,110,0.5111,1264.0,1209.0
22,23,North Carolina State,35.0,19.0,0.5669,21,0.5826,1683.0,1206.0
188,189,North Dakota State,23.0,30.0,0.4689,230,0.4799,1219.0,1321.0
165,166,North Florida,28.0,27.0,0.4917,174,0.4943,1465.0,1499.0
30,31,Northeastern,44.0,14.0,0.5086,122,0.5104,1493.0,1432.0
293,294,Northern Colorado,8.0,31.0,0.4594,250,0.4684,864.0,981.0
279,280,Northern Illinois,10.0,43.0,0.4863,186,0.4963,1344.0,1364.0
218,219,Northern Kentucky,30.0,27.0,0.4481,266,0.437,1291.0,1663.0
262,263,Northwestern,10.0,40.0,0.5138,106,0.5179,1373.0,1278.0
147,148,Northwestern State,27.0,27.0,0.4989,149,0.5049,1396.0,1369.0
53,54,Notre Dame,30.0,24.0,0.5474,40,0.5494,1550.0,1271.0
216,217,Oakland,28.0,31.0,0.4626,243,0.4592,1369.0,1612.0
212,213,Ohio,18.0,30.0,0.4951,162,0.5034,1254.0,1237.0
77,78,Ohio State,31.0,25.0,0.5331,62,0.5442,1613.0,1351.0
39,40,Oklahoma,31.0,26.0,0.5714,15,0.5927,1810.0,1244.0
16,17,Oklahoma State,41.0,18.0,0.5592,29,0.574,1808.0,1342.0
90,91,Old Dominion,32.0,23.0,0.5152,101,0.5196,1507.0,1393.0
85,86,Ole Miss,25.0,29.0,0.5678,20,0.5821,1679.0,1205.0
265,266,Omaha,21.0,28.0,0.4373,286,0.4388,1016.0,1300.0
75,76,Oral Roberts,46.0,11.0,0.4459,274,0.4457,1219.0,1516.0
33,34,Oregon,37.0,20.0,0.5603,28,0.5761,1654.0,1215.0
36,37,Oregon State,39.0,18.0,0.5298,72,0.5311,1539.0,1358.0
277,278,Pacific,14.0,35.0,0.4585,251,0.4477,1072.0,1323.0
115,116,Penn,32.0,14.0,0.4439,278,0.4377,899.0,1155.0
141,142,Penn State,25.0,25.0,0.5021,140,0.5151,1315.0,1238.0
192,193,Pepperdine,19.0,30.0,0.5076,126,0.511,1224.0,1171.0
78,79,Pittsburgh,24.0,31.0,0.569,19,0.5909,1661.0,1150.0
104,105,Portland,31.0,23.0,0.4973,156,0.5015,1318.0,1310.0
289,290,Prairie View A&M,17.0,36.0,0.4116,300,0.4256,1001.0,1351.0
199,200,Presbyterian College,21.0,34.0,0.5076,125,0.5152,1512.0,1423.0
149,150,Princeton,24.0,23.0,0.4691,229,0.4788,1007.0,1096.0
206,207,Purdue,24.0,29.0,0.4851,189,0.4849,1317.0,1399.0
275,276,Purdue Fort Wayne,13.0,43.0,0.4759,211,0.4892,1423.0,1486.0
248,249,Queens,17.0,38.0,0.4957,160,0.5025,1479.0,1464.0
202,203,Quinnipiac,30.0,26.0,0.4421,280,0.4399,1178.0,1501.0
295,296,Radford,10.0,45.0,0.4713,220,0.4722,1327.0,1483.0
193,194,Rhode Island,23.0,29.0,0.4788,202,0.4891,1293.0,1351.0
164,165,Rice,21.0,37.0,0.5383,54,0.5506,1726.0,1409.0
226,227,Richmond,27.0,28.0,0.4617,247,0.4599,1277.0,1500.0
98,99,Rider,35.0,19.0,0.4626,242,0.4602,1258.0,1476.0
65,66,Rutgers,33.0,23.0,0.5165,99,0.5254,1531.0,1383.0
225,226,SIUE,24.0,28.0,0.4563,254,0.4518,1208.0,1466.0
198,199,Sacramento State,29.0,26.0,0.4658,235,0.4599,1294.0,1520.0
228,229,Sacred Heart,28.0,30.0,0.4457,275,0.4543,1279.0,1537.0
298,299,Saint Bonaventure,8.0,40.0,0.4562,255,0.4563,1105.0,1317.0
162,163,Saint John's,28.0,25.0,0.4748,212,0.4714,1282.0,1438.0
160,161,Saint Joseph's,28.5,24.5,0.4769,206,0.4761,1294.0,1424.0
223,224,Saint Louis,33.0,23.0,0.4221,296,0.4008,1129.0,1689.0
184,185,Saint Mary's College,23.0,28.0,0.4924,170,0.4956,1249.0,1271.0
300,301,Saint Peter's,9.0,41.0,0.4475,268,0.452,1137.0,1379.0
292,293,Saint Thomas,10.0,34.0,0.4369,287,0.4396,932.0,1188.0
69,70,Sam Houston State,38.0,23.0,0.5138,107,0.5249,1665.0,1507.0
61,62,Samford,36.0,23.0,0.5193,91,0.528,1642.0,1468.0
117,118,San Diego,24.5,25.5,0.5185,93,0.5318,1331.0,1172.0
145,146,San Diego State,24.0,29.0,0.518,94,0.5286,1394.0,1243.0
264,265,San Francisco,18.0,29.0,0.4664,234,0.4531,1039.0,1255.0
103,104,San Jose State,31.0,25.0,0.5041,131,0.511,1420.0,1359.0
80,81,Santa Clara,35.0,18.0,0.492,172,0.487,1252.0,1319.0
176,177,Seattle University,20.0,31.0,0.5117,115,0.5209,1394.0,1282.0
143,144,Seton Hall,31.0,24.0,0.4709,224,0.4653,1319.0,1516.0
270,271,Siena,14.0,41.0,0.4725,217,0.4858,1386.0,1467.0
140,141,South Alabama,23.0,31.0,0.5347,59,0.5486,1596.0,1313.0
7,8,South Carolina,39.0,19.0,0.5891,3,0.6075,1875.0,1211.0
84,85,South Carolina Upstate,38.0,22.0,0.5029,138,0.5035,1577.0,1555.0
243,244,South Dakota State,21.0,28.0,0.4376,285,0.4415,1014.0,1283.0
158,159,South Florida,21.0,39.0,0.5459,41,0.5699,1842.0,1390.0
210,211,Southeast Missouri,26.0,30.0,0.4761,208,0.4779,1405.0,1535.0
136,137,Southeastern Louisiana,25.0,25.0,0.5134,109,0.5257,1371.0,1237.0
272,273,Southern,22.0,28.0,0.4171,299,0.4367,1007.0,1299.0
137,138,Southern Illinois,30.0,27.0,0.4976,154,0.4992,1475.0,1480.0
274,275,Southern Indiana,15.0,38.0,0.4681,232,0.4741,1318.0,1462.0
20,21,Southern Miss,41.0,17.0,0.5422,46,0.5504,1692.0,1382.0
14,15,Stanford,38.0,16.0,0.5527,37,0.5589,1546.0,1219.0
