,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
59,58,Texas Tech  Big 12 (12-17),33-26,40,19-7,35,86,22-7,6-15,5-4,3-15,7-7,4-2,19-2,
60,59,Georgetown  Big East (13-7),36-21,91,21-12,55,126,17-9,17-8,2-4,3-5,9-11,8-3,16-2,
61,60,Louisville  ACC (16-14),32-24,33,16-8,143,227,25-10,7-10,0-4,7-15,5-4,6-3,14-2,-8
62,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
63,61,Nicholls  Southland (16-8),34-20,95,14-12,72,34,17-9,12-11,5-0,1-7,0-4,16-3,17-6,+17
64,62,Cincinnati  Big 12 (17-13),32-25,52,14-10,100,167,18-8,10-15,4-2,5-12,9-5,8-5,10-3,-7
65,63,California  Pac-12 (17-13),36-19,100,17-5,54,192,22-7,10-8,4-4,5-2,8-9,6-6,17-2,+2
66,64,UNCG  Southern (15-6),33-21,73,18-13,97,114,22-9,11-10,0-2,3-7,2-3,13-5,15-6,-10
67,65,Lamar  Southland (17-7),44-15,205,24-6,56,257,24-4,12-9,8-2,3-1,1-4,11-5,29-5,-9
68,66,Creighton  Big East (7-13),35-17,145,28-4,24,183,18-6,12-10,5-1,3-8,4-0,12-6,16-3,+1
69,67,Ohio State  Big Ten (12-12),29-26,49,16-12,45,37,13-8,11-15,5-3,6-6,8-10,5-6,10-4,-5
70,68,Virginia Tech  ACC (14-16),32-22,65,18-4,59,273,22-9,10-11,0-2,5-16,3-1,9-4,15-1,-7
71,69,South Alabama  Sun Belt (14-16),31-25,50,17-8,37,38,18-11,12-12,1-2,6-5,10-11,4-1,11-8,-3
72,70,Appalachian State  Sun Belt (16-13-1),33-21-1,109,15-6,53,222,15-7,15-11-1,3-3,2-6-0,9-6-0,13-8-1,9-1-0,+6
73,71,Old Dominion  Sun Belt (15-15),31-26,37,14-9,48,10,21-12,7-12,3-2,4-8,8-8,9-7,10-3,
74,72,Kansas  Big 12 (15-15),31-23,60,14-6,74,178,17-8,8-9,6-6,3-8,6-9,12-3,10-3,+1
75,73,Hawaii  Big West (20-10),33-16,115,13-6,113,170,23-10,10-6,0-0,1-5,2-5,11-2,19-4,-4
76,74,USC  Pac-12 (17-12),31-28,45,11-15,116,29,16-10,12-11,3-7,4-8,5-5,16-12,6-3,+8
77,75,VCU  Atlantic 10 (15-8),37-21,128,18-13,63,47,18-9,12-12,7-0,2-7,3-1,14-6,18-7,+12
78,76,Evansville  Missouri Valley (17-10),35-23,118,14-13,102,161,16-8,15-15,4-0,3-7,1-3,10-7,21-6,+18
79,77,Rutgers  Big Ten (6-18),28-25,66,22-7,19,98,13-9,15-16,0-0,0-5,9-12,13-8,6-0,-3
80,78,Sam Houston State  Conference USA (13-11),34-24,86,20-11,50,80,23-7,10-14,1-3,3-9,3-6,9-9,19-0,-8
81,79,Notre Dame  ACC (9-21),27-25,58,18-4,47,264,16-8,11-17,0-0,2-16,1-3,13-4,11-2,-2
82,80,Murray State  Missouri Valley (17-10),37-20,154,20-8,62,207,20-8,17-10,0-2,2-7,4-2,8-5,23-6,-8
83,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
84,81,Miami (FL)  ACC (11-19),27-30,16,14-10,142,144,19-16,6-13,2-1,7-13,5-6,4-6,11-5,+9
85,82,Utah  Pac-12 (16-14),33-22,125,16-7,86,261,15-8,14-13,4-1,2-4,8-9,8-4,15-5,-2
86,83,Campbell  Coastal Athletic (12-15),31-22,84,19-7,27,40,22-10,8-12,1-0,7-9,1-3,6-4,17-6,+1
87,84,Kennesaw State  ASUN (19-10),32-24,131,10-13,51,13,13-6,16-17,3-1,4-7,2-4,6-5,20-8,+9
88,85,Michigan  Big Ten (14-10),32-28,57,16-16,106,57,19-8,9-12,4-8,2-12,9-5,9-7,12-4,
89,86,Tulane  American Athletic (15-12),35-24,98,16-12,96,60,19-13,12-11,4-0,4-3,3-5,12-8,16-8,+10
90,87,Arizona State  Pac-12 (17-13),32-26,61,15-11,99,69,21-12,11-9,0-5,2-8,1-2,21-12,8-4,-12
91,88,Samford  Southern (14-7),36-21,127,20-13,151,232,24-10,10-10,2-1,1-7,7-8,7-2,21-4,+3
92,89,Pittsburgh  ACC (10-20),26-29,34,16-7,83,218,12-12,8-13,6-4,5-15,6-9,5-3,10-2,-6
93,90,Purdue  Big Ten (13-11),32-24,83,19-11,78,106,15-13,9-7,8-4,0-4,6-9,12-8,14-3,-11
94,91,Boston College  ACC (8-22),22-31,20,14-9,66,84,7-18,12-12,3-1,8-12,7-10,3-8,4-1,-10
95,92,Cal State Northridge  Big West (16-14),30-24,103,14-10,77,135,15-10,15-14,0-0,2-10,2-6,5-1,21-7,+9
96,93,UIC  Missouri Valley (16-11),34-20,162,16-7,98,236,17-6,12-9,5-5,0-4,5-6,8-5,21-5,-1
97,94,South Carolina Upstate  Big South (16-8),36-24,126,18-14,67,32,22-9,12-12,2-3,1-9,2-2,8-6,25-7,-8
98,95,Wichita State  American Athletic (15-12),32-29,76,14-15,121,53,19-10,9-15,4-4,2-12,3-5,9-9,18-3,+10
99,96,Grand Canyon  Western Athletic (23-7),34-23,143,11-14,91,16,17-10,15-11,2-2,1-1,5-9,10-7,18-6,-7
100,97,Penn State  Big Ten (12-12),29-24,116,14-11,131,221,11-8,10-13,8-3,5-8,2-3,12-6,10-7,+14
101,98,Western Kentucky  Conference USA (15-9),36-22,161,19-11,145,263,22-9,12-11,2-2,2-7,4-4,13-5,17-6,-1
102,99,Saint Louis  Atlantic 10 (16-8),37-16,243,21-6,94,288,22-4,9-10,6-2,0-0,0-1,8-12,29-3,-11
103,100,Stetson  ASUN (20-10),40-20,198,17-9,105,188,26-9,11-10,3-1,1-4,4-2,7-5,28-9,+10
104,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
105,101,Bowling Green  Mid-American (24-6),33-20,220,8-12,148,162,16-3,16-15,1-2,1-5,3-1,9-10,20-4,-3
106,102,Missouri  SEC (9-21),23-32,25,14-11,184,238,15-14,7-16,1-2,5-19,7-5,2-2,9-6,
107,103,Niagara  MAAC (20-4),38-15,288,15-11,133,292,12-3,23-12,3-0,1-1,1-2,8-4,28-8,+10
108,104,Iowa  Big Ten (14-10),29-23,122,15-11,153,245,18-4,7-12,4-7,3-8,3-5,8-7,15-3,-9
109,105,Michigan State  Big Ten (11-13),24-27,48,13-14,119,44,13-10,6-8,5-9,2-4,5-10,11-7,6-6,+1
110,106,Cal Poly  Big West (20-10),35-22,148,15-12,219,239,24-12,11-10,0-0,4-5,1-2,10-8,20-7,-6
111,107,Western Carolina  Southern (13-8),28-26,96,15-16,164,187,14-11,10-11,4-4,2-8,0-3,14-10,12-5,-4
112,108,Saint Mary's College  West Coast (16-8),34-22,183,17-12,101,153,21-7,12-13,1-2,3-7,1-1,8-7,22-7,-9
113,109,Mercer  Southern (6-14),29-29,81,20-13,90,108,17-13,9-14,3-2,3-5,6-13,7-3,13-8,+5
114,110,Georgia State  Sun Belt (13-17),25-32,51,12-14,112,56,13-15,12-15,0-2,2-12,11-4,5-10,7-6,-6
115,111,Texas State  Sun Belt (13-17),27-29,67,14-12,108,100,15-14,9-12,3-3,4-7,1-7,13-14,9-1,-2
116,112,Houston  Big 12 (7-21),26-28,53,19-7,40,65,20-12,4-14,2-2,1-10,4-12,7-4,14-2,-4
117,113,McNeese  Southland (11-13),30-27,105,16-12,95,97,20-10,7-15,3-2,0-8,3-9,5-2,22-8,+4
118,114,Air Force  Mountain West (18-12),27-28,111,8-14,79,4,14-6,9-17,4-5,3-10,0-2,7-9,17-7,-2
119,115,Bryant  America East (17-7),36-19,264,16-12,118,229,19-4,14-15,3-0,0-6,1-2,5-6,30-5,+16
120,116,Liberty  Conference USA (11-13),24-34,36,11-19,155,25,16-14,6-18,2-2,2-16,2-10,9-3,11-5,+12
121,117,Ball State  Mid-American (18-12),35-23-1,221,14-9-1,64,158,13-6,15-13,7-4-1,0-4-0,1-2-1,17-10-0,17-7-0,+2
122,118,Minnesota  Big Ten (11-13),24-23,142,13-10,136,271,9-7,12-12,3-4,0-4,6-9,6-8,12-2,-2
123,119,William & Mary  Coastal Athletic (13-14),32-26,140,17-10,110,189,19-12,11-12,2-2,2-6,3-5,8-8,19-7,+1
124,120,UTSA  American Athletic (17-10),32-24,159,15-12,160,208,19-11,12-9,1-4,2-2,4-3,11-11,15-8,-13
125,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
126,121,Delaware  Coastal Athletic (16-11),31-26,151,13-13,211,242,11-15,17-9,3-2,0-2,5-6,13-9,13-9,+9
127,122,High Point  Big South (17-7),34-25,163,14-18,195,124,20-14,11-11,3-0,1-5,2-3,11-7,20-10,+18
128,123,New Orleans  Southland (14-10),28-26,113,13-14,139,70,18-12,9-11,1-3,0-6,4-2,10-11,14-7,-5
129,124,FIU  Conference USA (11-13),27-30,72,15-15,147,94,16-17,9-9,2-4,0-4,7-7,9-15,11-4,+5
130,125,Army  Patriot League (16-8),31-21,191,11-12,217,247,14-9,11-7,6-5,0-1,3-3,7-6,21-11,+9
131,126,Columbia  Ivy League (17-4),26-18,215,9-12,124,85,15-4,11-10,0-4,1-8,0-0,4-4,21-6,-3
